----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 128, 128]           9,472
       BatchNorm2d-2         [-1, 64, 128, 128]             128
              ReLU-3         [-1, 64, 128, 128]               0
              ReLU-4         [-1, 64, 128, 128]               0
              ReLU-5         [-1, 64, 128, 128]               0
       BatchNorm2d-6         [-1, 64, 128, 128]             128
              ReLU-7         [-1, 64, 128, 128]               0
            Conv2d-8         [-1, 64, 128, 128]           4,160
       BatchNorm2d-9         [-1, 64, 128, 128]             128
             ReLU-10         [-1, 64, 128, 128]               0
           Conv2d-11         [-1, 64, 128, 128]          36,928
      BatchNorm2d-12         [-1, 64, 128, 128]             128
             ReLU-13         [-1, 64, 128, 128]               0
           Conv2d-14        [-1, 128, 128, 128]           8,320
           Conv2d-15        [-1, 128, 128, 128]           8,320
       Bottleneck-16        [-1, 128, 128, 128]               0
      BatchNorm2d-17        [-1, 128, 128, 128]             256
             ReLU-18        [-1, 128, 128, 128]               0
           Conv2d-19        [-1, 128, 128, 128]          16,512
      BatchNorm2d-20        [-1, 128, 128, 128]             256
             ReLU-21        [-1, 128, 128, 128]               0
           Conv2d-22        [-1, 128, 128, 128]         147,584
      BatchNorm2d-23        [-1, 128, 128, 128]             256
             ReLU-24        [-1, 128, 128, 128]               0
           Conv2d-25        [-1, 256, 128, 128]          33,024
           Conv2d-26        [-1, 256, 128, 128]          33,024
       Bottleneck-27        [-1, 256, 128, 128]               0
      BatchNorm2d-28        [-1, 256, 128, 128]             512
             ReLU-29        [-1, 256, 128, 128]               0
           Conv2d-30        [-1, 128, 128, 128]          32,896
      BatchNorm2d-31        [-1, 128, 128, 128]             256
             ReLU-32        [-1, 128, 128, 128]               0
           Conv2d-33        [-1, 128, 128, 128]         147,584
      BatchNorm2d-34        [-1, 128, 128, 128]             256
             ReLU-35        [-1, 128, 128, 128]               0
           Conv2d-36        [-1, 256, 128, 128]          33,024
       Bottleneck-37        [-1, 256, 128, 128]               0
      BatchNorm2d-38        [-1, 256, 128, 128]             512
             ReLU-39        [-1, 256, 128, 128]               0
           Conv2d-40        [-1, 128, 128, 128]          32,896
      BatchNorm2d-41        [-1, 128, 128, 128]             256
             ReLU-42        [-1, 128, 128, 128]               0
           Conv2d-43        [-1, 128, 128, 128]         147,584
      BatchNorm2d-44        [-1, 128, 128, 128]             256
             ReLU-45        [-1, 128, 128, 128]               0
           Conv2d-46        [-1, 256, 128, 128]          33,024
       Bottleneck-47        [-1, 256, 128, 128]               0
      BatchNorm2d-48          [-1, 256, 64, 64]             512
             ReLU-49          [-1, 256, 64, 64]               0
           Conv2d-50          [-1, 128, 64, 64]          32,896
      BatchNorm2d-51          [-1, 128, 64, 64]             256
             ReLU-52          [-1, 128, 64, 64]               0
           Conv2d-53          [-1, 128, 64, 64]         147,584
      BatchNorm2d-54          [-1, 128, 64, 64]             256
             ReLU-55          [-1, 128, 64, 64]               0
           Conv2d-56          [-1, 256, 64, 64]          33,024
       Bottleneck-57          [-1, 256, 64, 64]               0
      BatchNorm2d-58          [-1, 256, 64, 64]             512
